_id,barcode,brandCode,category,categoryCode,cpg,topBrand,name
5fdce8edbe37ce5fa8ba59cc,511111818465,,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fdce8edbe37ce5fa8ba59cb'}}",False,test brand @1608313069400
5fdce8dbbe37ce5fa8ba59bf,511111218418,TEST BRANDCODE @1608313051133,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fdce8dabe37ce5fa8ba59be'}}",False,test brand @1608313051132
5fdce8dbbe37ce5fa8ba59c0,511111418429,TEST BRANDCODE @1608313051244,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fdce8dabe37ce5fa8ba59be'}}",False,test brand @1608313051244
5fb8216ebe37ce522e165cdd,511111517726,BALL PARK,Bread & Bakery,BREAD_AND_BAKERY,"{'$ref': 'Cogs', '$id': {'$oid': '5fb6b608be37ce522e165cb9'}}",False,Ball Park
5332f765e4b03c9a25efd120,511111003687,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",,Glaceau fruitwater
5f43faabbe37ce3ef3fd3717,511111815730,TEST BRANDCODE @1598290603618,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f43faabbe37ce3ef3fd3714'}}",,test brand @1598290603618
5a5d1f46e4b0db471c2d0427,511111700302,HIDDEL BARREL COLLECTION,Beer Wine Spirits,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f709e4b03c9a25efd0f1'}}",,Hidden Barrel Collection
5db9e8db1dda2c3e1416aea1,511111506195,LAUNCH BOX,Frozen,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",,Launch Box
57ebc2bde4b0ac389136a348,511111101949,,Frozen,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",False,Poppers
5a02196ce4b00efe02b02a5a,511111600565,SIMPLE,Beauty,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",False,SIMPLE
5a5d2bcbe4b0db471c2d0435,511111600077,SALON SELECTIVES,Beauty & Personal Care,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",,Salon Selectives
57d9580ee4b0ac389136a2b6,511111802358,CRACKER BARREL,Dairy,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",False,Cracker Barrel Cheese
5c112616315a241ba1716511,511111404729,HUGGIES LITTLE SWIMMERS,Baby,BABY,"{'$ref': 'Cogs', '$id': {'$oid': '550b2565e4b001d5e9e4146f'}}",False,Huggies Little Swimmers
5f403231be37ce5f78d9ed17,511111315674,TEST BRANDCODE @1598042673502,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f403231be37ce5f78d9ed14'}}",,test brand @1598042673502
5fd3acb6be37ce0d9386bb42,511111918202,TEST BRANDCODE @1607707830173,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5fd3acb5be37ce0d9386bb3e'}}",False,test brand @1607707830173
5db20be5a60b87376833e366,511111406136,SHREDS,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",,Blasted Shreds™
5d9d08d1a60b87376833e348,511111605546,BAKEN ETS,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",,Baken-Ets
5daf54491dda2c3e1416ae97,511111306009,HONEY NUT CHEERIOS,Breakfast & Cereal,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",,Honey Nut Cheerios™
5332f734e4b03c9a25efd103,511111003809,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f734e4b03c9a25efd104'}}",,Johnsonville
53501d29b9237fd7718f9e15,511111302858,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332fa58e4b03c9a25efd215'}}",,Tombstone
5332f775e4b03c9a25efd128,511111903628,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",,Chex
5f38576ebe37ce5178517acb,511111415411,,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f38576ebe37ce5178517aca'}}",,test brand @1597527918397
5c76dd4d95144c5375687b52,511111806899,DASH-2249 1 BRAND 1,Baby,,"{'$ref': 'Cogs', '$id': {'$oid': '5c76dd1095144c5375687b51'}}",True,DASH-2249 1 brand 1
585a964ce4b03e62d1ce0e7a,511111301745,CRACKER JACK,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",True,Cracker Jack
5f59002dbe37ce21f1287c10,511111316558,GERBER GOOD START,Baby,BABY,"{'$ref': 'Cogs', '$id': {'$oid': '5f58fa84be37ce21f1287c0f'}}",,Gerber Good Start
5f4802bdbe37ce0c8303373e,511111915843,TEST BRANDCODE @1598554813654,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4802bdbe37ce0c8303373c'}}",,test brand @1598554813654
5f493dacbe37ce64d0ae36bf,511111016069,TEST BRANDCODE @1598635436505,Candy & Sweets,CANDY_AND_SWEETS,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",,test brand @1598635436505
5f38578fbe37ce5178517ad6,511111315445,TEST BRANDCODE @1597527951436,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f38578fbe37ce5178517ad3'}}",,test brand @1597527951436
5332fa7be4b03c9a25efd22c,511111502937,,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",,Fresca
